Year,school name,Borough,Zip
1/1/2017,East-West School of International Studies,QUEENS,NY
1/1/2017,"Queens High School of Teaching, Liberal Arts and the Sciences",QUEENS,NY
1/1/2017,Williamsburg High School for Architecture and Design,BROOKLYN,NY
1/1/2017,Kingsborough Early College School,BROOKLYN,NY
1/1/2017,M.S. 129 Academy for Independent Learning and Leadership,BRONX,NY
1/1/2017,The Metropolitan Soundview High School,BRONX,NY
1/1/2017,South Bronx Preparatory: A College Board School,BRONX,NY
1/1/2017,P.S. 179 Kensington,BROOKLYN,NY
1/1/2017,I.S. 347 School of Humanities,BROOKLYN,NY
1/1/2017,P.S. 087 William Sherman,MANHATTAN,NY
1/1/2017,High School for Excellence and Innovation,MANHATTAN,NY
1/1/2017,P.S. 017 Henry David Thoreau,QUEENS,NY
1/1/2017,P.S. 169 Sunset Park,BROOKLYN,NY
1/1/2017,Fannie Lou Hamer Middle School,BRONX,NY
1/1/2017,Brooklyn Preparatory High School,BROOKLYN,NY
1/1/2017,Victory Collegiate High School,BROOKLYN,NY
1/1/2017,I.S. 096 Seth Low,BROOKLYN,NY
1/1/2017,Van Siclen Community Middle School,BROOKLYN,NY
1/1/2017,High School of Sports Management,BROOKLYN,NY
1/1/2017,P.S. 206 Joseph F Lamb,BROOKLYN,NY
1/1/2017,P.S. 58 - The School of Heroes,QUEENS,NY
1/1/2017,P.S. 052 Queens,QUEENS,NY
1/1/2017,P.S. 150,MANHATTAN,NY
1/1/2017,J.H.S. 194 William Carr,QUEENS,NY
1/1/2017,Gramercy Arts High School,MANHATTAN,NY
1/1/2017,P.S. Q811,QUEENS,NY
1/1/2017,The Walton Avenue School,BRONX,NY
1/1/2017,P.S. K396,BROOKLYN,NY
1/1/2017,P.S. 029 John M. Harrigan,BROOKLYN,NY
1/1/2017,Green School: An Academy for Environmental Careers,BROOKLYN,NY
1/1/2017,Transit Tech Career and Technical Education High School,BROOKLYN,NY
1/1/2017,P.S. 042 Claremont,BRONX,NY
1/1/2017,P.S. 048 P.O. Michael J. Buczek,MANHATTAN,NY
1/1/2017,Yorkville Community School,MANHATTAN,NY
1/1/2017,P.S. 204 Morris Heights,BRONX,NY
1/1/2017,I.S. 141 The Steinway,QUEENS,NY
1/1/2017,M.S. 255 Salk School of Science,MANHATTAN,NY
1/1/2017,P.S. 132 Garret A. Morgan,BRONX,NY
1/1/2017,Brooklyn Studio Secondary School,BROOKLYN,NY
1/1/2017,Spruce Street School,MANHATTAN,NY
1/1/2017,P.S. 171 Patrick Henry,MANHATTAN,NY
1/1/2017,Muscota,MANHATTAN,NY
1/1/2017,I.S. X303 Leadership & Community Service,BRONX,NY
1/1/2017,P.S. 064 Joseph P. Addabbo,QUEENS,NY
1/1/2017,P. S. 62 - Chester Park School,QUEENS,NY
1/1/2017,P.S. 018 John Peter Zenger,BRONX,NY
1/1/2017,All City Leadership Secondary School,BROOKLYN,NY
1/1/2017,Academy for Conservation and the Environment,BROOKLYN,NY
1/1/2017,Innovation Diploma Plus,MANHATTAN,NY
1/1/2017,P.S. 009 Sarah Anderson,MANHATTAN,NY
1/1/2017,Millennium Brooklyn HS,BROOKLYN,NY
1/1/2017,P.S. 019 Marino Jeantet,QUEENS,NY
1/1/2017,P.S. 075 Emily Dickinson,MANHATTAN,NY
1/1/2017,J.H.S. 234 Arthur W. Cunningham,BROOKLYN,NY
1/1/2017,Staten Island Technical High School,STATEN ISLAND,NY
1/1/2017,P.S. 129 Patricia Larkin,QUEENS,NY
1/1/2017,Richard R. Green High School of Teaching,MANHATTAN,NY
1/1/2017,Vista Academy,BROOKLYN,NY
1/1/2017,"Mathematics, Science Research and Technology Magnet High School",QUEENS,NY
1/1/2017,P.S. 75 School of Research and Discovery,BRONX,NY
1/1/2017,P.S. 069 Journey Prep School,BRONX,NY
1/1/2017,M.S. 51 William Alexander,BROOKLYN,NY
1/1/2017,P.S. 078 Anne Hutchinson,BRONX,NY
1/1/2017,Humanities & Arts Magnet High School,QUEENS,NY
1/1/2017,P.S. 153 Adam Clayton Powell,MANHATTAN,NY
1/1/2017,Brooklyn Arts and Science Elementary School,BROOKLYN,NY
1/1/2017,The High School for Global Citizenship,BROOKLYN,NY
1/1/2017,P.S. 154 Queens,QUEENS,NY
1/1/2017,Brooklyn High School for Leadership and Community Service,BROOKLYN,NY
1/1/2017,Metropolitan Expeditionary Learning School,QUEENS,NY
1/1/2017,P.S. 049 Willis Avenue,BRONX,NY
1/1/2017,P.S. 154 Harriet Tubman,MANHATTAN,NY
1/1/2017,University Heights Secondary School,BRONX,NY
1/1/2017,ACORN Community High School,BROOKLYN,NY
1/1/2017,P.S. 253,QUEENS,NY
1/1/2017,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,MANHATTAN,NY
1/1/2017,Bronx Alliance Middle School,BRONX,NY
1/1/2017,Franklin K. Lane Campus YABC,BROOKLYN,NY
1/1/2017,Young Leaders Elementary School,BRONX,NY
1/1/2017,Metropolitan Diploma Plus High School,BROOKLYN,NY
1/1/2017,University Neighborhood High School,MANHATTAN,NY
1/1/2017,The High School of Fashion Industries,MANHATTAN,NY
1/1/2017,JHS 123,BRONX,NY
1/1/2017,Manhattan Comprehensive Night and Day High School,MANHATTAN,NY
1/1/2017,Bronx High School for Writing and Communication Arts,BRONX,NY
1/1/2017,P.S. 002 Meyer London,MANHATTAN,NY
1/1/2017,Bronx Center for Science and Mathematics,BRONX,NY
1/1/2017,P.S. 138 Samuel Randall,BRONX,NY
1/1/2017,47 The American Sign Language and English Secondary School,MANHATTAN,NY
1/1/2017,I.S. 313 School of Leadership Development,BRONX,NY
1/1/2017,Monroe Academy for Visual Arts & Design,BRONX,NY
1/1/2017,M.S. 442 Carroll Gardens School for Innovation,BROOKLYN,NY
1/1/2017,Williamsburg Preparatory School,BROOKLYN,NY
1/1/2017,P.S. 206 Jose Celso Barbosa,MANHATTAN,NY
1/1/2017,P.S. 186 Dr. Irving A Gladstone,BROOKLYN,NY
1/1/2017,William E. Grady Career and Technical Education High School,BROOKLYN,NY
1/1/2017,Repertory Company High School for Theatre Arts,MANHATTAN,NY
1/1/2017,The Brooklyn School for Math and Research,BROOKLYN,NY
1/1/2017,J.H.S. 291 Roland Hayes,BROOKLYN,NY
1/1/2017,P.S. 123 Mahalia Jackson,MANHATTAN,NY
1/1/2017,J.H.S. 217 Robert A. Van Wyck,QUEENS,NY
1/1/2017,I.S. 5 - The Walter Crowley Intermediate School,QUEENS,NY
1/1/2017,P.S./M.S. 11X498 - VAN NEST ACADEMY,BRONX,NY
1/1/2017,The Lexington Academy,MANHATTAN,NY
1/1/2017,Rockaway Collegiate High School,QUEENS,NY
1/1/2017,P.S. 183 Robert L. Stevenson,MANHATTAN,NY
1/1/2017,George Westinghouse Career and Technical Education High School,BROOKLYN,NY
1/1/2017,Baruch College Campus High School,MANHATTAN,NY
1/1/2017,East Side Community School,MANHATTAN,NY
1/1/2017,Thurgood Marshall Academy for Learning and Social Change,MANHATTAN,NY
1/1/2017,Institute for Collaborative Education,MANHATTAN,NY
1/1/2017,Community Health Academy of the Heights,MANHATTAN,NY
1/1/2017,Middle School of Marketing and Legal Studies,BROOKLYN,NY
1/1/2017,"Science Skills Center High School for Science, Technology and the Creative Arts",BROOKLYN,NY
1/1/2017,P.S. 150 Queens,QUEENS,NY
1/1/2017,Newcomers High School,QUEENS,NY
1/1/2017,Lyons Community School,BROOKLYN,NY
1/1/2017,John Adams High School,QUEENS,NY
1/1/2017,P.S. 223 Lyndon B. Johnson,QUEENS,NY
1/1/2017,I.S. 093 Ridgewood,QUEENS,NY
1/1/2017,Juan Morel Campos Secondary School,BROOKLYN,NY
1/1/2017,"The Marie Curie School for Medicine, Nursing, and Health Professions",BRONX,NY
1/1/2017,Spring Creek Community School,BROOKLYN,NY
1/1/2017,P.S. 047 John Randolph,BRONX,NY
1/1/2017,I.S. 237,QUEENS,NY
1/1/2017,P.S. 021 Edward Hart,QUEENS,NY
1/1/2017,P.S. 5 Port Morris,BRONX,NY
1/1/2017,P.S. 90 Edna Cohen School,BROOKLYN,NY
1/1/2017,P.S. 120 Queens,QUEENS,NY
1/1/2017,P.S. 133 Fred R Moore,MANHATTAN,NY
1/1/2017,P.S. 097 Forest Park,QUEENS,NY
1/1/2017,M.S. 053 Brian Piccolo,QUEENS,NY
1/1/2017,Village Academy,QUEENS,NY
1/1/2017,Institute for Health Professions at Cambria Heights,QUEENS,NY
1/1/2017,P.S. 029 Queens,QUEENS,NY
1/1/2017,P.S. 192 - The Magnet School for Math and Science Inquiry,BROOKLYN,NY
1/1/2017,South Bronx Academy for Applied Media,BRONX,NY
1/1/2017,High School M560 - City As School,MANHATTAN,NY
1/1/2017,Mott Hall High School,MANHATTAN,NY
1/1/2017,P.S. 014 Fairview,QUEENS,NY
1/1/2017,Bronx Studio School for Writers and Artists,BRONX,NY
1/1/2017,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",QUEENS,NY
1/1/2017,P.S. 101 The Verrazano,BROOKLYN,NY
1/1/2017,I.S. 230,QUEENS,NY
1/1/2017,Teachers College Community School,MANHATTAN,NY
1/1/2017,I.S. 303 Herbert S. Eisenberg,BROOKLYN,NY
1/1/2017,J.H.S. 201 The Dyker Heights,BROOKLYN,NY
1/1/2017,Expeditionary Learning School for Community Leaders,BROOKLYN,NY
1/1/2017,P.S. 536,BRONX,NY
1/1/2017,P.S. 262 El Hajj Malik El Shabazz Elementary School,BROOKLYN,NY
1/1/2017,Providing Urban Learners Success In Education High School,BRONX,NY
1/1/2017,P.S. 396,BRONX,NY
1/1/2017,I.S. 73 - The Frank Sansivieri Intermediate School,QUEENS,NY
1/1/2017,P.S. 149 Sojourner Truth,MANHATTAN,NY
1/1/2017,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,MANHATTAN,NY
1/1/2017,Bushwick School for Social Justice,BROOKLYN,NY
1/1/2017,Academy for Young Writers,BROOKLYN,NY
1/1/2017,P.S. 108 Sal Abbracciamento,BROOKLYN,NY
1/1/2017,P.S. 013 Clement C. Moore,QUEENS,NY
1/1/2017,Townsend Harris High School,QUEENS,NY
1/1/2017,Pace High School,MANHATTAN,NY
1/1/2017,Arts & Media Preparatory Academy,BROOKLYN,NY
1/1/2017,I.S. 227 Louis Armstrong,QUEENS,NY
1/1/2017,J.H.S. 227 Edward B. Shallow,BROOKLYN,NY
1/1/2017,High School for Contemporary Arts,BRONX,NY
1/1/2017,Corona Arts and Sciences Academy,QUEENS,NY
1/1/2017,P.S. 148 Queens,QUEENS,NY
1/1/2017,Evergreen Middle School for Urban Exploration,BROOKLYN,NY
1/1/2017,Clara Barton High School,BROOKLYN,NY
1/1/2017,Jamaica Gateway to the Sciences,QUEENS,NY
